,id,imdb_id,popularity,budget,revenue,original_title,cast,homepage,director,tagline,keywords,overview,runtime,genres,production_companies,release_date,vote_count,vote_average,release_year,budget_adj,revenue_adj,production
4107,47354,tt0328007,0.246462,0,0,K-9: P.I.,Jim Belushi|Gary Basaraba|Jody Racicot|Christopher Shyer|Barbara Tyson,,Richard J. Lewis,The Odd Couple Is Back!,police operation|shadowing|police headquarter|german shepherd|policeman,Dooley and his K-9 partner Jerry Lee are ready to retire from the police force. But before he can retire with his pension he must work as a P.I. to find a set of high tech computer chips.,95,Comedy|Action|Crime|Adventure,Universal Pictures,2002-07-30,18,6.0,2002,0.0,0.0,Universal Pictures
4110,13440,tt0270707,0.24191,0,0,The Truth About Charlie,Mark Wahlberg|Thandie Newton|Tim Robbins|Christine Boisson|Lisa Gay Hamilton,,Jonathan Demme,,suspense,"The Truth About Charlie is a 2002 remake of the 1963 film Charade (which starred Cary Grant and Audrey Hepburn). It is also an homage to François Truffaut's Shoot the Piano Player and that film's star Charles Aznavour appeared as himself and sang his song ""Quand tu m'aimes"" (English version).",104,Mystery|Thriller,Universal Pictures,2002-10-25,20,4.7,2002,0.0,0.0,Universal Pictures
4111,11857,tt0273923,0.239755,0,0,Orange County,Colin Hanks|Jack Black|Schuyler Fisk|Bret Harrison|Kyle Howard,,Jake Kasdan,It's not just a place. It's a state of mind.,surfer|province|death of a friend|idol|change,Shaun Brumder is a local surfer kid from Orange County who dreams of going to Stanford to become a writer and to get away from his disfunctional family household. Except Shaun runs into one complication after another starting when his application is rejected after his dim-witted guidance counselor sends the wrong application.,82,Comedy|Drama,Paramount Pictures|MTV Films,2002-01-10,50,6.0,2002,0.0,0.0,Paramount Pictures
4118,14317,tt0282120,0.228316,35000000,0,The Wild Thornberrys Movie,Lacey Chabert|Tom Kane|Cree Summer|Tim Curry|Lynn Redgrave,,Cathy Malkasian|Jeff McGrath,You don't need extraordinary powers to do extraordinary things.,sister sister relationship|safari|wildlife|baboon|chimpanzee,"Eliza and Debbie are two sisters who don't always get along. But their relationship is put to the test when Debbie's life is in danger, and Eliza might have to give up her power to talk to animals....",85,Animation|Adventure|Family,Paramount Pictures|Nickelodeon Movies|Paramount Animation,2002-12-20,21,5.9,2002,42429148.7767,0.0,Paramount Pictures
4141,12277,tt0279493,0.132296,25000000,41604473,Undercover Brother,Eddie Griffin|Chris Kattan|Denise Richards|Aunjanue Ellis|Chi McBride,,Malcolm D. Lee,He's All Action,u.s. president|double life|policy and organisations|undercover|intelligence,"An Afro-American organization, the B.R.O.T.H.E.R.H.O.O.D., is in permanent fight against a white organization ""The Man"" defending the values of the black people in North America. When the Afro-American candidate Gen. Warren Boutwell behaves strangely in his presidential campaign, Undercover Brother is hired to work undercover for ""The Man"" and find what happened with the potential candidate.",86,Action|Comedy,Universal Pictures,2002-05-31,46,5.4,2002,30306534.8405,50435496.4198,Universal Pictures
4179,13,tt0109830,6.715966,55000000,677945399,Forrest Gump,Tom Hanks|Robin Wright|Gary Sinise|Mykelti Williamson|Sally Field,,Robert Zemeckis,"The world will never be the same, once you've seen it through the eyes of Forrest Gump.",vietnam veteran|hippie|mentally disabled|running|based on novel,"A man with a low IQ has accomplished great things in his life and been present during significant historic events - in each case, far exceeding what anyone imagined he could do. Yet, despite all the things he has attained, his one true love eludes him. 'Forrest Gump' is the story of a man who rose above his challenges, and who proved that determination, courage, and love are more important than ability.",142,Comedy|Drama|Romance,Paramount Pictures,1994-07-06,4856,8.1,1994,80911135.8879,997333314.601,Paramount Pictures
4183,36593,tt0110622,2.126863,30000000,51132598,The Naked Gun 33⅓: The Final Insult,Leslie Nielsen|Priscilla Presley|George Kennedy|O.J. Simpson|Fred Ward,,Peter Segal,"A Mad Bomber is on the Loose, and If Anyone Can Stop Him....So Can Frank!",undercover|spoof|state prison,"Frank Drebin is persuaded out of retirement to go undercover in a state prison. There he is to find out what top terrorist, Rocco, has planned for when he escapes. Frank's wife, Jane, is desperate for a baby.. this adds to Frank's problems. A host of celebrities at the Academy awards ceremony are humiliated by Frank as he blunders his way trying to foil Rocco.",83,Comedy|Action|Crime,Paramount Pictures,1994-03-18,228,6.1,1994,44133346.8479,75221756.0924,Paramount Pictures
4190,9331,tt0109444,1.353693,62000000,215887717,Clear and Present Danger,Harrison Ford|Willem Dafoe|Anne Archer|Joaquim de Almeida|Henry Czerny,,Phillip Noyce,The war of drugs would lead him to the war of power.,assassination|spy|ambush|cia|helicopter,CIA Analyst Jack Ryan is drawn into an illegal war fought by the US government against a Colombian drug cartel.,141,Action|Drama|Thriller,Paramount Pictures|Mace Neufeld Productions,1994-08-03,204,6.1,1994,91208916.8191,317594916.486,Paramount Pictures
4193,306,tt0109254,1.267344,50000000,119208989,Beverly Hills Cop III,Eddie Murphy|Judge Reinhold|Héctor Elizondo|Gilbert R. Hill|Timothy Carhart,,John Landis,In for the ride of his life!,detective|undercover|security camera|carousel |investigation,"Detroit cop Axel Foley is back in sunny Southern California in the third installment of the comedic fish-out-of-water Beverly Hills Cop series. On the trail of two murderers, Axel again teams up with Los Angeles cop Billy Rosewood. Soon, they discover that an amusement park is being used as a front for a massive counterfeiting ring -- and it's run by the same gang that shot Billy's boss.",104,Action|Comedy|Crime,Paramount Pictures|Eddie Murphy Productions,1994-05-24,246,5.6,1994,73555578.0799,175369721.964,Paramount Pictures
4203,888,tt0109813,0.954392,46000000,341631208,The Flintstones,John Goodman|Elizabeth Perkins|Rick Moranis|Rosie O'Donnell|Kyle MacLachlan,,Brian Levant,Yabba-Dabba-Doo!,manager|jealousy|bad mother-in-law|adoption|family's daily life,Modern Stone Age family the Flintstones hit the big screen in this live-action version of the classic cartoon. Fred helps Barney adopt a child. Barney sees an opportunity to repay him when Slate Mining tests its employees to find a new executive. But no good deed goes unpunished.,91,Fantasy|Comedy|Family,Universal Pictures|Amblin Entertainment|Hanna-Barbera Productions,1994-05-26,264,5.0,1994,67671131.8335,502577619.892,Universal Pictures
4205,193,tt0111280,0.948788,38000000,120000000,Star Trek: Generations,Patrick Stewart|Jonathan Frakes|Brent Spiner|LeVar Burton|Michael Dorn,,David Carson,Boldly go.,based on tv series|death|exploding planet|mountain cabin|solar system,Captain Jean-Luc Picard and the crew of the Enterprise-D find themselves at odds with the renegade scientist Soran who is destroying entire star systems. Only one man can help Picard stop Soran's scheme...and he's been dead for seventy-eight years.,118,Science Fiction|Action|Adventure|Thriller,Paramount Pictures,1994-11-17,265,6.3,1994,55902239.3407,176533387.392,Paramount Pictures
4210,6280,tt0110216,0.848554,60000000,37000000,Junior,Arnold Schwarzenegger|Danny DeVito|Emma Thompson|Frank Langella|Pamela Reed,,Ivan Reitman,Nothing is inconceivable,baby|medicine|media|pregnancy|scientist,"As part of a fertility research project, a male scientist agrees to carry a pregnancy in his own body.",109,Comedy|Romance|Science Fiction,Universal Pictures|Northern Lights Entertainment,1994-11-22,207,4.7,1994,88266693.6959,54431127.7791,Universal Pictures
4212,8850,tt0111143,0.84317,25000000,48063435,The Shadow,Alec Baldwin|John Lone|Penelope Ann Miller|Peter Boyle|Ian McKellen,,Russell Mulcahy,The Shadow Knows!,new york|atomic bomb|ladykiller|hypnosis|superhero,"Based on the 1930's comic strip, puts the hero up against his arch enemy, Shiwan Khan, who plans to take over the world by holding a city to ransom using an atom bomb. Using his powers of invisibility and ""The power to cloud men's minds"", the Shadow comes blazing to the city's rescue with explosive results.",108,Adventure|Fantasy|Action|Thriller|Science Fiction,Universal Pictures,1994-07-01,81,5.3,1994,36777789.04,70706674.9186,Universal Pictures
4221,8831,tt0111438,0.710052,27000000,101646581,Timecop,Jean-Claude Van Damme|Mia Sara|Ron Silver|Bruce McGill|Gloria Reuben,,Peter Hyams,They killed his wife ten years ago. There's still time to save her. Murder is forever... until now.,time travel|alternative reality|sci-fi action,"An officer for a security agency that regulates time travel, must fend for his life against a shady politician who has a tie to his past.",99,Thriller|Science Fiction|Action|Crime,Universal Pictures|Renaissance Pictures|Dark Horse Entertainment|Largo Entertainment|Signature Pictures,1994-09-15,157,5.3,1994,39720012.1632,149533460.506,Universal Pictures
4230,11667,tt0111301,0.607281,35000000,99423521,Street Fighter,Jean-Claude Van Damme|Raúl Juliá|Ming-Na Wen|Damian Chapa|Kylie Minogue,,Steven E. de Souza,The fight to save the world is on!,dictator|martial arts|hostage|liberation of hostage|hostage-taking,Col. Guile and various other martial arts heroes fight against the tyranny of Dictator M. Bison and his cohorts.,102,Action|Adventure|Thriller,Universal Pictures|Capcom,1994-12-22,177,4.1,1994,51488904.6559,146263091.238,Universal Pictures
4247,2788,tt0110950,0.509774,11500000,20079850,Reality Bites,Winona Ryder|Ethan Hawke|Ben Stiller|Janeane Garofalo|Steve Zahn,,Ben Stiller,A comedy about love in the '90s.,roommate|yuppie|generations confilct|camcorder|cohabitant,"A small circle of friends suffering from post-collegiate blues must confront the hard truth about life, love and the pursuit of gainful employment. As they struggle to map out survival guides for the future, the Gen-X quartet soon begins to realize that reality isn't all it's cracked up to be.",99,Drama,Universal Pictures|Jersey Films,1994-02-18,90,6.5,1994,16917782.9584,29539699.4902,Universal Pictures
4255,2087,tt0109890,0.45309,0,0,The Getaway,Alec Baldwin|Kim Basinger|Michael Madsen|James Woods|David Morse,,Roger Donaldson,,suicide by hanging|sexual torture|exploding truck|cuckold|garbage dump,"Doc McCoy is put in prison because his partners chickened out and flew off without him after exchanging a prisoner with a lot of money. Doc knows Jack Benyon, a rich ""business""-man, is up to something big, so he tells his wife (Carol McCoy) to tell him that he's for sale if Benyon can get him out of prison. Benyon pulls some strings and Doc McCoy is released again. Unfortunately he has to cooperate with the same person that got him to prison.",115,Drama|Action|Thriller,Universal Pictures|Largo Entertainment,1994-02-11,41,5.3,1994,0.0,0.0,Universal Pictures
4261,4954,tt0109676,0.425715,45000000,0,Drop Zone,Wesley Snipes|Gary Busey|Yancy Butler|Michael Jeter|Corin Nemec,,John Badham,Taking crime to new heights,terrorist|transport of prisoners|parachuting|boeing 747|suspense,A team of skydiving crooks led by DEA-agent-turned-bad Ty Moncrief (Busey) specialize in landing on police roofs and breaking in so their evil computer nerd can steal undercover agents' files and sell them to drug lords. Federal Marshal Pete Nessip (Snipes) lost a brother to this crew and learns skydiving with the help of tough-but-lovable instructor Jessie Crossmann (Butler) so he can track them down.,101,Action|Adventure|Thriller,Paramount Pictures,1994-12-08,47,5.0,1994,66200020.2719,0.0,Paramount Pictures
4266,11777,tt0110099,0.419986,25000000,0,I.Q.,Tim Robbins|Meg Ryan|Walter Matthau|Lou Jacobi|Stephen Fry,,Fred Schepisi,Think Love.,wedding vows|mathematician|car mechanic|comet|albert einstein,Albert Einstein helps a young man who's in love with Einstein's niece to catch her attention by pretending temporarily to be a great physicist.,100,Comedy|Drama|Romance,Paramount Pictures,1994-12-24,59,5.8,1994,36777789.04,0.0,Paramount Pictures
4269,8986,tt0110516,0.412651,0,18137661,Milk Money,Melanie Griffith|Ed Harris|Michael Patrick Carter|Malcolm McDowell|Anne Heche,,Richard Benjamin,You can't get enough of a good thing... But first you have to find it.,prostitute|tree house|red-light disctrict|young people|stripper,"Three young boys pool their money and pay V, a kindhearted prostitute, to strip for them. Afterward, she drives them home to the suburbs -- but then her car breaks down. It's just as well, though, because a mobster named Waltzer is after her, and V realizes the suburbs are the perfect place to hide. But things get a lot more complicated when V falls in love with Tom, a single father who is unaware of her real profession.",108,Comedy|Romance,Paramount Pictures|The Kennedy/Marshall Company,1994-08-31,19,5.5,1994,0.0,26682522.7974,Paramount Pictures
4272,12778,tt0109936,0.41646,0,13145977,Greedy,Michael J. Fox|Kirk Douglas|Nancy Travis|Olivia d'Abo|Phil Hartman,,Jonathan Lynn,"Where there’s a will, there’s a relative.",male nudity|tattoo|vandalism|nudity|grandfather,Michael J. Fox stars with Kirk Douglas and Nancy Travis in this wickedly funny comedy of heirs about a backstabbing family desperate to get their piece of a massive inheritance.,113,Comedy,Imagine Entertainment|Universal Pictures,1994-03-04,25,5.3,1994,0.0,19339198.7532,Universal Pictures
4278,12280,tt0110771,0.387503,6000000,0,The Paper,Michael Keaton|Robert Duvall|Glenn Close|Marisa Tomei|Randy Quaid,,Ron Howard,"A behind-the-lines look at work, marriage and other forms of combat.",new york|research|success|tageszeitung|murder,"Henry Hackett is the editor of a New York City tabloid. He is a workaholic who loves his job, but the long hours and low pay are leading to discontent. Also, publisher Bernie White faces financial straits, and has hatchetman Alicia Clark, Henry's nemesis, impose unpopular cutbacks.",112,Comedy|Drama,Imagine Entertainment|Universal Pictures,1994-03-18,12,5.9,1994,8826669.36959,0.0,Universal Pictures
4282,19176,tt0109493,0.363695,0,0,The Cowboy Way,Woody Harrelson|Kiefer Sutherland|Dylan McDermott|Ernie Hudson|Marg Helgenberger,,Gregg Champion,,cowboys,"Two championship rodeo partners travel to New York to find their missing friend, Nacho Salazar who went missing there.",102,Western|Action|Comedy,Imagine Entertainment|Universal Pictures,1994-06-03,18,5.2,1994,0.0,0.0,Universal Pictures
4283,29918,tt0110305,0.181617,0,0,Lassie,Tom Guiry|Helen Slater|Jon Tenney|Brittany Boyd|Frederic Forrest,,Daniel Petrie,Best Friends Are Forever,lassie,"An update of the Lassie legend stars Thomas Guiry as a troubled city kid whose family retreats to the country, where he befriends the famous collie and changes for the better. Conflict develops when a ruthless sheep rancher causes trouble for everyone.",94,Action|Adventure|Drama|Family,Paramount Pictures,1994-07-22,32,6.5,1994,0.0,0.0,Paramount Pictures
4294,11593,tt0110684,0.240785,0,0,Nobody's Fool,Paul Newman|Bruce Willis|Melanie Griffith|Jessica Tandy|Dylan Walsh,,Robert Benton,In a town where nothing ever happens... everything is about to happen to Sully.,illegal employment|retirement|drama,"Sully is a rascally ne'er-do-well approaching retirement age. While he is pressing a worker's compensation suit for a bad knee, he secretly works for his nemesis, Carl, and flirts with Carl's young wife Toby. Sully's long- forgotten son and family have moved back to town, so Sully faces unfamiliar family responsibilities. Meanwhile, Sully's landlady's banker son plots to push through a new development and evict Sully from his mother's life.",110,Drama|Comedy,Paramount Pictures|Capella International|Cinehaus,1994-12-23,25,7.2,1994,0.0,0.0,Paramount Pictures
4297,19819,tt0109305,0.171867,0,0,Blue Chips,Nick Nolte|Shaquille O'Neal|Mary McDonnell|J. T. Walsh|Ed O'Neill,,William Friedkin,,sport|basketball|drama,"Pete Bell, a college basketball coach is under a lot of pressure. His team aren't winning and he cannot attract new players. The stars of the future are secretly being paid by boosters. This practice is forbidden in the college game, but Pete is desperate and has pressures from all around.",108,Drama,Paramount Pictures,1994-02-18,20,5.7,1994,0.0,0.0,Paramount Pictures
4307,10897,tt0110366,0.271219,0,67308282,The Little Rascals,Travis Tedford|Kevin Jamal Woods|Jordan Warkol|Zachary Mabry|Ross Bagley,,Penelope Spheeris,Mischief loves company!,running|shenanigan|friendship|clubhaus|group of friends,"Spanky, Alfalfa, Buckwheat, and the other characters made famous in the Our Gang shorts of the 1920s and 1930s are brought back to life in this nostalgic children's comedy. When Alfalfa starts to question his devotion to the club's principles after falling for the beautiful nine-year old Darla, the rest of the gang sets out to keep them apart.",82,Romance|Comedy|Family,Universal Pictures|Amblin Entertainment|King World Entertainment,1994-08-05,102,6.3,1994,0.0,99017991.8415,Universal Pictures
4317,8987,tt0110997,0.227473,0,0,The River Wild,Meryl Streep|David Strathairn|Joseph Mazzello|Kevin Bacon|John C. Reilly,,Curtis Hanson,The vacation is over.,river|boston|bank robber|marriage crisis|hostage-taking,"While on a family vacation, Meryl Streep takes on a pair of armed killers (led by Kevin Bacon) while navigating a spectacularly violent river.",108,Adventure|Action|Thriller|Crime,Universal Pictures,1994-09-30,95,6.0,1994,0.0,0.0,Universal Pictures
4318,46717,tt0110146,0.416428,45000000,21355893,Intersection,Richard Gere|Sharon Stone|Lolita Davidovich|Martin Landau|Jennifer Morrison,,Mark Rydell,Make every move as if it were your last.,infidelity|car accident,"During a car accident, Vincent Eastman watches his whole life flash before his eyes, and he doesn't like what he sees. While maintaining the semblance of a marriage with his wife, Sally, Vincent has been carrying on with a mistress, Olivia. She's everything Sally isn't -- warm, passionate, carefree. So why can't he choose between the two, especially when his indecision is taking its toll on his daughter?",98,Drama|Romance,Paramount Pictures,1994-01-21,24,4.6,1994,66200020.2719,31416901.1006,Paramount Pictures
4328,21352,tt0109120,0.18885,0,0,Andre,Tina Majorino|Keith Carradine|Chelsea Field|Keith Szarabajka|Joshua Jackson,,George T. Miller,The greatest adventure is finding your way home.,,"The true story of how a marine seal named Andre befriended a little girl and her family, circa 1962.",94,Drama|Family|Adventure,Paramount Pictures,1994-08-17,15,5.5,1994,0.0,0.0,Paramount Pictures
4331,19855,tt0111667,0.165751,0,0,The War,Elijah Wood|Kevin Costner|Mare Winningham|Lexi Randall|LaToya Chisholm,,Jon Avnet,,vietnam veteran|bullying|child,The son of a Vietnam War Veteran must deal with neighborhood bullies as well as his dad's post-traumatic stress disorder while growing up in the deep south in the 1970's.,126,Drama,Universal Pictures,1994-11-04,15,6.4,1994,0.0,0.0,Universal Pictures
4338,34152,tt0109504,0.13863,0,0,Crooklyn,Alfre Woodard|Delroy Lindo|David Patrick Kelly|Zelda Harris|Carlton Williams,,Spike Lee,,black people|1970s|jazz musician|straßenkids|dysfunctional family,"From Spike Lee comes this vibrant semi-autobiographical portrait of a school-teacher, her stubborn jazz-musician husband and their five kids living in '70s Brooklyn.",115,Comedy|Drama,Universal Pictures,1994-05-13,11,5.6,1994,0.0,0.0,Universal Pictures
4366,49040,tt1194173,4.611854,130000000,276572938,The Bourne Legacy,Jeremy Renner|Rachel Weisz|Edward Norton|Scott Glenn|Stacy Keach,http://www.thebournelegacy.com/,Tony Gilroy,There Was Never Just One,assassin|wolf|maryland|suicide by gunshot|rooftop,"The fourth installment of the highly successful Bourne series sidelines main character Jason Bourne in order to focus on a fellow estranged assassin Aaron Cross. The story centers on new CIA operative, Aaron Cross as he experiences life-or-death stakes that have been triggered by the previous actions of Jason Bourne.",120,Action|Thriller,"Universal Pictures|Dentsu|Relativity Media|Kennedy/Marshall Company, The|Captivate Entertainment",2012-08-08,2086,5.9,2012,123466756.576,262673566.242,Universal Pictures
4372,58595,tt1735898,3.335603,170000000,396600000,Snow White and the Huntsman,Kristen Stewart|Charlize Theron|Chris Hemsworth|Sam Claflin|Ian McShane,http://www.snowwhiteandthehuntsman.com/,Rupert Sanders,The Fairytale is Over,queen|magic|fairy tale|magic mirror|immortality,"After the Evil Queen marries the King, she performs a violent coup in which the King is murdered and his daughter, Snow White, is taken captive. Almost a decade later, a grown Snow White is still in the clutches of the Queen. In order to obtain immortality, The Evil Queen needs the heart of Snow White. After Snow escapes the castle, the Queen sends the Huntsman to find her in the Dark Forest.",127,Adventure|Fantasy|Drama,Universal Pictures|Roth Films,2012-05-30,2152,5.7,2012,161456527.83,376668581.984,Universal Pictures
4376,72105,tt1637725,2.990114,50000000,549368315,Ted,Mark Wahlberg|Mila Kunis|Seth MacFarlane|Joel McHale|Giovanni Ribisi,http://www.tedisreal.com/,Seth MacFarlane,Ted is coming.,friendship|love|teddy bear|toy comes to life|wishes come true,"John Bennett, a man whose childhood wish of bringing his teddy bear to life came true, now must decide between keeping the relationship with the bear or his girlfriend, Lori.",106,Comedy|Fantasy,Universal Pictures|Media Rights Capital|Fuzzy Door Productions,2012-06-29,3199,6.4,2012,47487214.0676,521759415.527,Universal Pictures
4377,75780,tt0790724,2.944554,60000000,218340595,Jack Reacher,Tom Cruise|Rosamund Pike|Richard Jenkins|David Oyelowo|Werner Herzog,http://www.jackreachermovie.com/,Christopher McQuarrie,The Law Has Limits. He Does Not.,based on novel|sniper|investigation|police|character name in title,"In an innocent heartland city, five are shot dead by an expert sniper. The police quickly identify and arrest the culprit, and build a slam-dunk case. But the accused man claims he's innocent and says ""Get Jack Reacher."" Reacher himself sees the news report and turns up in the city. The defense is immensely relieved, but Reacher has come to bury the guy. Shocked at the accused's request, Reacher sets out to confirm for himself the absolute certainty of the man's guilt, but comes up with more than he bargained for.",130,Crime|Drama|Thriller,Paramount Pictures|Mutual Film Company|Skydance Productions|TC Productions,2012-12-20,2281,6.2,2012,56984656.8811,207367731.488,Paramount Pictures
4390,71552,tt1605630,1.979531,50000000,234989584,American Reunion,Jason Biggs|Alyson Hannigan|Seann William Scott|Chris Klein|Thomas Ian Nicholas,http://www.americanreunionmovie.com/,Jon Hurwitz|Hayden Schlossberg,Save the best piece for last.,wife husband relationship|lesbian kiss|sequel|family reunion|masturbation,"The characters we met a little more than a decade ago are returning to East Great Falls for their high-school reunion. In one long-overdue weekend, they will discover what has changed, who hasn’t and that time and distance can’t break the bonds of friendship. It was summer 1999 when four small-town Michigan boys began a quest to lose their virginity. In the years that have passed, Jim and Michelle married while Kevin and Vicky said goodbye. Oz and Heather grew apart, but Finch still longs for Stifler’s mom. Now these lifelong friends have come home as adults to reminisce about – and get inspired by – the hormonal teens who launched a comedy legend.",113,Comedy,Universal Pictures,2012-04-04,1180,6.0,2012,47487214.0676,223180013.581,Universal Pictures
4401,73723,tt1482459,1.682769,70000000,348840316,The Lorax,Zac Efron|Danny DeVito|Taylor Swift|Ed Helms|Rob Riggle,,Chris Renaud|Kyle Balda,Meet The Original Force Of Nature,tree|based on a children's book|walled city|reforestation|tree cutting,"A 12-year-old boy searches for the one thing that will enable him to win the affection of the girl of his dreams. To find it he must discover the story of the Lorax, the grumpy yet charming creature who fights to protect his world.",86,Animation|Family,Universal Pictures|Illumination Entertainment,2012-03-01,744,6.3,2012,66482099.6947,331309095.226,Universal Pictures
4405,44833,tt1440129,1.630455,209000000,303025485,Battleship,Taylor Kitsch|Alexander Skarsgård|Rihanna|Brooklyn Decker|Tadanobu Asano,,Peter Berg,The Battle for Earth Begins at Sea,fight|mind reading|hong kong|soccer|scientist,"When mankind beams a radio signal into space, a reply comes from ‘Planet G’, in the form of several alien crafts that splash down in the waters off Hawaii. Lieutenant Alex Hopper is a weapons officer assigned to the USS John Paul Jones, part of an international naval coalition which becomes the world's last hope for survival as they engage the hostile alien force of unimaginable strength. While taking on the invaders, Hopper must also try to live up to the potential his brother, and his fiancée's father, Admiral Shane, expect of him.",131,Thriller|Action|Adventure|Science Fiction,Universal Pictures|Hasbro|Bluegrass Films|Film 44,2012-04-11,1523,5.5,2012,198496554.803,287796721.483,Universal Pictures
4409,82695,tt1707386,1.608797,61000000,441809770,Les Misérables,Hugh Jackman|Russell Crowe|Anne Hathaway|Amanda Seyfried|Sacha Baron Cohen,http://www.lesmiserablesfilm.com,Tom Hooper,Fight. Dream. Hope. Love.,france|robbery|brothel|mayor|star,"An adaptation of the successful stage musical based on Victor Hugo's classic novel set in 19th-century France, in which a paroled prisoner named Jean Valjean seeks redemption.",157,Drama|Music|Romance,Universal Pictures|Relativity Media|CAMERON MACKINTOSH|Working Title Films,2012-12-18,1278,7.0,2012,57934401.1625,419606302.503,Universal Pictures
4424,96724,tt1781769,1.327062,0,68929150,Anna Karenina,Keira Knightley|Jude Law|Aaron Taylor-Johnson|Kelly Macdonald|Matthew Macfadyen,,Joe Wright,An epic story of love.,based on novel|high society|imperial russia|saint petersburg|tragic death,"Trapped in a loveless marriage, aristocrat Anna Karenina enters into a life-changing affair with the affluent Count Vronsky.",130,Drama|Romance,Universal Pictures|Focus Features|Working Title Films,2012-09-06,415,6.4,2012,0.0,65465066.031,Universal Pictures
4427,76493,tt1645170,1.291798,65000000,179379533,The Dictator,Sacha Baron Cohen|Sayed Badreya|Aasif Mandvi|Megan Fox|Anna Faris,http://www.dictatorthemovie.com/,Larry Charles,kurd,kurdish,The heroic story of a dictator who risks his life to ensure that democracy would never come to the country he so lovingly oppressed.,83,Comedy,Paramount Pictures,2012-05-15,1159,5.9,2012,61733378.2879,170364685.658,Paramount Pictures
4431,77866,tt1524137,1.252392,25000000,63100000,Contraband,Mark Wahlberg|Kate Beckinsale|Ben Foster|Giovanni Ribisi|J.K. Simmons,http://www.contrabandmovie.net,Baltasar Kormákur,What would you hide to protect your family?,head wound|criminal|security guard|contraband,"When his brother-in-law runs afoul of a drug lord, family man Chris Farraday turns to a skill he abandoned long ago -- smuggling -- to repay the debt. But the job goes wrong, and Farraday finds himself wanted by cops, crooks and killers alike.",109,Thriller|Action|Drama|Crime,Universal Pictures|StudioCanal|Relativity Media|Leverage Management|Closest to the Hole Productions,2012-01-12,549,6.1,2012,23743607.0338,59928864.1533,Universal Pictures
4446,72207,tt1195478,1.095479,30000000,53909751,The Five-Year Engagement,Emily Blunt|Alison Brie|Jason Segel|Rhys Ifans|Chris Pratt,http://www.thefiveyearengagementmovie.com/,Nicholas Stoller,A comedy about the journey between popping the question and tying the knot.,sex|san francisco|restaurant|frustration|chase,"Exactly one year after Tom meets Violet, he surprises her with a wedding ring. By all accounts, Tom and Violet are destined for their happily ever after. However, this engaged couple just keep getting tripped up on the long walk down the aisle.",124,Comedy,Universal Pictures|Dentsu|Relativity Media|Apatow Productions|Stoller Global Solutions,2012-04-27,319,5.6,2012,28492328.4406,51200477.7214,Universal Pictures
4453,59961,tt1599348,1.01404,85000000,208076205,Safe House,Denzel Washington|Ryan Reynolds|Vera Farmiga|Joel Kinnaman|Brendan Gleeson,http://www.nooneissafe.com,Daniel Espinosa,No one is safe,cia|stabbed in the stomach|character says i love you|safe house|rogue agent,"Denzel Washington plays the most dangerous renegade from the CIA, who comes back onto the grid after a decade on the run. When the South African safe house he's remanded to is attacked by mercenaries, a rookie operative (Ryan Reynolds) escapes with him. Now, the unlikely allies must stay alive long enough to uncover who wants them dead.",115,Action|Thriller|Crime|Mystery,Universal Pictures|Dentsu|Relativity Media|Bluegrass Films,2012-02-09,992,6.2,2012,80728263.9149,197619185.784,Universal Pictures
4458,87502,tt1907668,0.974459,31000000,161772375,Flight,Denzel Washington|Don Cheadle|Bruce Greenwood|Kelly Reilly|John Goodman,http://www.paramount.com/flight,Robert Zemeckis,,confession|f word|hangover|syringe|denial,"Commercial airline pilot Whip Whitaker has a problem with drugs and alcohol, though so far he's managed to complete his flights safely. His luck runs out when a disastrous mechanical malfunction sends his plane hurtling toward the ground. Whip pulls off a miraculous crash-landing that results in only six lives lost. Shaken to the core, Whip vows to get sober -- but when the crash investigation exposes his addiction, he finds himself in an even worse situation.",138,Drama,Paramount Pictures|Parkes/MacDonald Productions|ImageMovers,2012-11-02,1824,6.4,2012,29442072.7219,153642388.037,Paramount Pictures
4461,78698,tt1430615,0.953111,40000000,24719215,Big Miracle,Drew Barrymore|John Krasinski|Kristen Bell|Vinessa Shaw|Dermot Mulroney,http://www.everybodyloveswhales.com/,Ken Kwapis,A family of whales trapped beneath the ice. One unforgettable rescue.,whale|alaska|aftercreditsstinger|duringcreditsstinger|greenpeace,"Based on an inspiring true story, a small-town news reporter (Krasinski) and a Greenpeace volunteer (Barrymore) enlist the help of rival superpowers to save three majestic gray whales trapped under the ice of the Arctic Circle. ‘Big Miracle’ is adapted from the nonfiction book ‘Freeing the Whales: How the Media Created the World’s Greatest Non-Event’ by Tom Rose.",107,Adventure|Drama|Romance,Universal Pictures|Anonymous Content|Working Title Films,2012-02-02,109,6.5,2012,37989771.2541,23476933.0858,Universal Pictures
